"VersionEffective","PartNumber","PROPERTY","ValuePrior","ValueCurrent","ChangeReason"
"2.79","LP285546-0","STATUS","ACTIVE","INACTIVE",""
"2.79","LP285547-8","STATUS","ACTIVE","INACTIVE",""
"2.79","LP285549-4","STATUS","ACTIVE","INACTIVE",""
"2.79","LP285550-2","STATUS","ACTIVE","INACTIVE",""
"2.79","LP285551-0","STATUS","ACTIVE","INACTIVE",""
"2.79","LP285552-8","STATUS","ACTIVE","INACTIVE",""
"2.79","LP285553-6","STATUS","ACTIVE","INACTIVE",""
"2.79","LP285554-4","STATUS","ACTIVE","INACTIVE",""
"2.79","LP285555-1","STATUS","ACTIVE","INACTIVE",""
"2.79","LP285556-9","STATUS","ACTIVE","INACTIVE",""
"2.79","LP285557-7","STATUS","ACTIVE","INACTIVE",""
"2.79","LP285558-5","STATUS","ACTIVE","INACTIVE",""
"2.79","LP285559-3","STATUS","ACTIVE","INACTIVE",""
"2.79","LP285560-1","STATUS","ACTIVE","INACTIVE",""
"2.79","LP285561-9","STATUS","ACTIVE","INACTIVE",""
"2.79","LP285562-7","STATUS","ACTIVE","INACTIVE",""
"2.79","LP285565-0","STATUS","ACTIVE","INACTIVE",""
"2.79","LP285566-8","STATUS","ACTIVE","INACTIVE",""
"2.79","LP285567-6","STATUS","ACTIVE","INACTIVE",""
"2.79","LP285568-4","STATUS","ACTIVE","INACTIVE",""
"2.79","LP285569-2","STATUS","ACTIVE","INACTIVE",""
"2.79","LP285570-0","STATUS","ACTIVE","INACTIVE",""
"2.79","LP285571-8","STATUS","ACTIVE","INACTIVE",""
"2.79","LP285572-6","STATUS","ACTIVE","INACTIVE",""
"2.79","LP285573-4","STATUS","ACTIVE","INACTIVE",""
"2.79","LP285574-2","STATUS","ACTIVE","INACTIVE",""
"2.79","LP285575-9","STATUS","ACTIVE","INACTIVE",""
"2.79","LP285576-7","STATUS","ACTIVE","INACTIVE",""
"2.79","LP285577-5","STATUS","ACTIVE","INACTIVE",""
"2.79","LP285578-3","STATUS","ACTIVE","INACTIVE",""
"2.79","LP285579-1","STATUS","ACTIVE","INACTIVE",""
"2.79","LP285580-9","STATUS","ACTIVE","INACTIVE",""
"2.79","LP285581-7","STATUS","ACTIVE","INACTIVE",""
"2.79","LP285582-5","STATUS","ACTIVE","INACTIVE",""
"2.79","LP285583-3","STATUS","ACTIVE","INACTIVE",""
"2.79","LP285584-1","STATUS","ACTIVE","INACTIVE",""
"2.79","LP285585-8","STATUS","ACTIVE","INACTIVE",""
"2.79","LP285586-6","STATUS","ACTIVE","INACTIVE",""
"2.79","LP285587-4","STATUS","ACTIVE","INACTIVE",""
"2.79","LP285588-2","STATUS","ACTIVE","INACTIVE",""
"2.79","LP285590-8","STATUS","ACTIVE","INACTIVE",""
"2.79","LP285591-6","STATUS","ACTIVE","INACTIVE",""
"2.79","LP285592-4","STATUS","ACTIVE","INACTIVE",""
"2.79","LP285593-2","STATUS","ACTIVE","INACTIVE",""
